"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL189171";"ACEMETACIN";"ACEMETACIN|ACEMETACINA|ACEMETACINE|EMFLEX|NSC-757413|RANTUDIL";"NSC-757413";"4.0";"";"'-metacin'";"";"anti-inflammatory agents (indomethacin type)";"'-metacin(-metacin)'";"";"M01AB11";"M01AB - Acetic acid derivatives and related substances";"M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS";"M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS";"M - MUSCULO-SKELETAL SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1";"InChI=1S/C21H18ClNO6/c1-12-16(10-20(26)29-11-19(24)25)17-9-15(28-2)7-8-18(17)23(12)21(27)13-3-5-14(22)6-4-13/h3-9H,10-11H2,1-2H3,(H,24,25)";"False";"0"
"CHEMBL628";"PENTOXIFYLLINE";"BL 191|BL-191|C04AD03|NEOTREN MR|NSC-637086|NSC-758481|OXPENTIFYLLINE|OXYPENTIFYLLINE|PENTOXIFILINA|PENTOXIFYLLINE|PENTOXIL|PENTOXIPHYLLIN|TRENTAL|TRENTAL 100|TRENTAL 400";"BL 191|BL-191|C04AD03|NSC-637086|NSC-758481";"4.0";"Valeant Pharmaceuticals North America Llc|Pliva Inc An Indirect Wholly Owned Sub Of Teva Pharmaceuticals Usa Inc|Apotex Inc|Upsher Smith Laboratories Llc|Rising Pharma Holding Inc|Validus Pharmaceuticals Llc|Ani Pharmaceuticals Inc|Impax Laboratories Inc|Heritage Pharmaceuticals Inc Dba Avet Pharmaceuticals Inc";"'-fylline'";"1976";"theophylline derivatives";"'-fylline(-fylline)'";"1984";"C04AD03";"C04AD - Purine derivatives";"C04A - PERIPHERAL VASODILATORS";"C04 - PERIPHERAL VASODILATORS";"C - CARDIOVASCULAR SYSTEM";"Vasodilator";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O";"InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3";"False";"0"
"CHEMBL32800";"FENOTEROL";"AIRUM|BERODUAL|BERODUAL N|BEROTEC|BEROTEC 100|BEROTEC 200|DOSBEROTEC|DUOVENT|FENOTEROL|FENOTEROL HBR|FENOTEROL HYDROBROMIDE|NSC-757811|PARTUSISTEN|TH 1165A|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A|TH-1165A FREE BASE";"NSC-757811|TH 1165A|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A|TH-1165A FREE BASE";"4.0";"";"'-terol'";"1971";"bronchodilators (phenethylamine derivatives)";"'-terol(-terol)'";"";"G02CA03 | R03CC04 | R03AC04";"G02CA - Sympathomimetics, labour repressants | R03CC - Selective beta-2-adrenoreceptor agonists | R03AC - Selective beta-2-adrenoreceptor agonists";"G02C - OTHER GYNECOLOGICALS | R03C - ADRENERGICS FOR SYSTEMIC USE | R03A - ADRENERGICS, INHALANTS";"G02 - OTHER GYNECOLOGICALS | R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES | R03 - DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES";"G - GENITO URINARY SYSTEM AND SEX HORMONES | R - RESPIRATORY SYSTEM | R - RESPIRATORY SYSTEM";"Bronchodilator";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Withdrawn";"CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1";"InChI=1S/C17H21NO4/c1-11(6-12-2-4-14(19)5-3-12)18-10-17(22)13-7-15(20)9-16(21)8-13/h2-5,7-9,11,17-22H,6,10H2,1H3";"True";"0"
"CHEMBL3833382";"PRAJMALIUM";"N-PROPYLAJMALINE|PRAJMALINE|PRAJMALIUM CATION|PRAJMALIUM ION";"";"4.0";"";"'-aj-; -ium'";"";"antiarrhythmics (ajmaline derivatives); quaternary ammonium derivatives";"'-aj-(-aj-); -ium(-ium)'";"";"C01BA08";"C01BA - Antiarrhythmics, class Ia";"C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CCC[N+]12[C@H](O)[C@@H](CC)[C@@H]3C[C@H]1[C@@H]1N(C)c4ccccc4[C@]14C[C@H]2[C@@H]3[C@H]4O";"InChI=1S/C23H33N2O2/c1-4-10-25-17-11-14(13(5-2)22(25)27)19-18(25)12-23(21(19)26)15-8-6-7-9-16(15)24(3)20(17)23/h6-9,13-14,17-22,26-27H,4-5,10-12H2,1-3H3/q+1/t13-,14-,17-,18-,19+,20-,21+,22+,23+,25?/m0/s1";"False";"0"
"CHEMBL728";"PROCHLORPERAZINE";"COMPAZINE|COMPRO|PROCHLORPERAZINE|PROCHLORPERAZINE MESILATE|PROCHLORPERAZINE MESYLATE|PROCLORPERAZINA|Prochlorperazine|STEMETIL EFF";"";"4.0";"Jubilant Cadista Pharmaceuticals Inc|Baxter Healthcare Corp Anesthesia And Critical Care|Bionpharma Inc|Teva Parenteral Medicines Inc|Mylan Laboratories Ltd|Cosette Pharmaceuticals Inc|Marsam Pharmaceuticals Llc|Novitium Pharma Llc|Nexus Pharmaceuticals Llc|Eugia Pharma Specialities Ltd";"";"";"";"";"1956";"N05AB04";"N05AB - Phenothiazines with piperazine structure";"N05A - ANTIPSYCHOTICS";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"Anti-Emetic,Anti-Emetic; Antipsychotic,Antipsychotic; Anti-Emetic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"1";"1";"Prescription Only";"CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1";"InChI=1S/C20H24ClN3S/c1-22-11-13-23(14-12-22)9-4-10-24-17-5-2-3-6-19(17)25-20-8-7-16(21)15-18(20)24/h2-3,5-8,15H,4,9-14H2,1H3";"False";"0"
"CHEMBL2364639";"VALBENAZINE";"MT-5199|NBI-98854|VALBENAZINA|VALBENAZINE";"NBI-98854";"4.0";"Neurocrine Biosciences Inc";"";"2013";"";"";"2017";"N07XX13";"N07XX - Other nervous system drugs";"N07X - OTHER NERVOUS SYSTEM DRUGS";"N07 - OTHER NERVOUS SYSTEM DRUGS";"N - NERVOUS SYSTEM";"";"US-8039627-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"1";"0";"0";"1";"Prescription Only";"COc1cc2c(cc1OC)[C@H]1C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CC2";"InChI=1S/C24H38N2O4/c1-14(2)9-17-13-26-8-7-16-10-21(28-5)22(29-6)11-18(16)19(26)12-20(17)30-24(27)23(25)15(3)4/h10-11,14-15,17,19-20,23H,7-9,12-13,25H2,1-6H3/t17-,19-,20-,23+/m1/s1";"False";"0"
"CHEMBL578";"ENALAPRIL";"C09AA02|ENALAPRIL|Enalapril|Lexxel|OLINAPRIL|Vaseretic|Vasotec";"C09AA02";"4.0";"Bionpharma Inc|Silvergate Pharmaceuticals Inc|Sun Pharmaceutical Industries Ltd|Taro Pharmaceutical Industries Ltd|Prinston Pharmaceutical Inc|Krka Dd Novo Mesto|Cosette Pharmaceuticals Inc|Alkem Laboratories Ltd|Annora Pharma Private Ltd|Amneal Pharmaceuticals Llc";"'-nal-; -pril'";"1981";"narcotic agonists/antagonists (normorphine type); antihypertensives (ACE inhibitors)";"'-nal-(-nal-); -pril(-pril)'";"1985";"C09AA02";"C09AA - ACE inhibitors, plain";"C09A - ACE INHIBITORS, PLAIN";"C09 - AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM";"C - CARDIOVASCULAR SYSTEM";"Antihypertensive";"US-8568747-B1";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"1";"0";"0";"1";"Prescription Only";"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O";"InChI=1S/C20H28N2O5/c1-3-27-20(26)16(12-11-15-8-5-4-6-9-15)21-14(2)18(23)22-13-7-10-17(22)19(24)25/h4-6,8-9,14,16-17,21H,3,7,10-13H2,1-2H3,(H,24,25)/t14-,16-,17-/m0/s1";"False";"0"
"CHEMBL1201342";"METHIXENE";"ATOSIL|METIXENE|METIXENO|Methixene";"";"4.0";"Novartis Pharmaceuticals Corp";"";"1964";"";"";"1982";"N04AA03";"N04AA - Tertiary amines";"N04A - ANTICHOLINERGIC AGENTS";"N04 - ANTI-PARKINSON DRUGS";"N - NERVOUS SYSTEM";"Relaxant (smooth muscle)";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Discontinued";"CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1";"InChI=1S/C20H23NS/c1-21-12-6-7-15(14-21)13-18-16-8-2-4-10-19(16)22-20-11-5-3-9-17(18)20/h2-5,8-11,15,18H,6-7,12-14H2,1H3";"False";"0"
"CHEMBL1908373";"ONAPRISTONE";"ONAPRISTONA|ONAPRISTONE|Onapristone|ZK-299|ZK-98299|ZK299|ZK98299";"ZK-299|ZK-98299|ZK299";"4.0";"";"'-pris-; -pristone'";"";"steriodal compounds acting on progesterone receptors (excluding-gest- compounds); progesterone receptor antagonists";"'-pris-(-pris-); -pristone(-pristone)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1";"InChI=1S/C29H39NO3/c1-28-18-25(19-5-8-21(9-6-19)30(2)3)27-23-12-10-22(32)17-20(23)7-11-24(27)26(28)13-15-29(28,33)14-4-16-31/h5-6,8-9,17,24-26,31,33H,4,7,10-16,18H2,1-3H3/t24-,25+,26-,28+,29+/m0/s1";"False";"0"
"CHEMBL1201236";"CARBIDOPA ANHYDROUS";"CARBIDOPA ANHYDROUS|CARBIDOPA, L- ANHYDROUS";"";"4.0";"Edenbridge Pharmaceuticals Llc|Idt Australia Ltd|Sun Pharmaceutical Industries Ltd|Aurobindo Pharma Ltd|Impax Laboratories Inc|Avion Pharmaceuticals Llc|Orion Pharma|Rising Pharma Holdings Inc|Apotex Inc|Alvogen Inc";"'-dopa'";"1972";"dopamine receptor agonists";"'-dopa(-dopa)'";"1975";"";"";"";"";"";"Inhibitor (decarboxylase)";"US-8377474-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O";"InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1";"False";"0"
"CHEMBL1201012";"FLURANDRENOLIDE";"33379|CORDRAN|CORDRAN SP|FLUDROXICORTIDA|FLUDROXICORTIDE|FLUDROXYCORTIDE|FLURANDRENOLIDE|FLURANDRENOLONE|HAELAN|HAELAN-C|HAELAN-X|NSC-757869";"33379|NSC-757869";"4.0";"Alpharma Us Pharmaceuticals Division|Padagis Israel Pharmaceuticals Ltd|Almirall Llc|Teligent Pharma Inc|Chartwell Rx Sciences Llc|Eli Lilly And Co";"'-andr-'";"1969";"androgens";"'-andr-(-andr-)'";"1965";"D07AC07";"D07AC - Corticosteroids, potent (group III)";"D07A - CORTICOSTEROIDS, PLAIN";"D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS";"D - DERMATOLOGICALS";"Glucocorticoid";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1";"InChI=1S/C24H33FO6/c1-21(2)30-19-9-14-13-8-16(25)15-7-12(27)5-6-22(15,3)20(13)17(28)10-23(14,4)24(19,31-21)18(29)11-26/h7,13-14,16-17,19-20,26,28H,5-6,8-11H2,1-4H3/t13-,14-,16-,17-,19+,20+,22-,23-,24+/m0/s1";"False";"0"
"CHEMBL741";"LAMOTRIGINE";"BW 430C|BW-430C|LAMICTAL|LAMICTAL CD|LAMICTAL ODT|LAMICTAL XR|LAMOTRIGINA|LAMOTRIGINE|NSC-759171";"BW 430C|BW-430C|NSC-759171";"4.0";"Jubilant Cadista Pharmaceuticals Inc|Mylan Laboratories Ltd|Taro Pharmaceutical Industries Ltd|Aurobindo Pharma Ltd|Zennova Pharmaceuticals Chengdu Co Ltd|Alkem Laboratories Ltd|Impax Laboratories Inc|Roxane Laboratories Inc|Chartwell Molecular Holdings Llc|Teva Pharmaceuticals Usa Inc";"'-trigine'";"1985";"sodium channel blockers, signal transduction modulators";"'-trigine(-trigine)'";"1994";"N03AX09";"N03AX - Other antiepileptics";"N03A - ANTIEPILEPTICS";"N03 - ANTIEPILEPTICS";"N - NERVOUS SYSTEM";"Anticonvulsant";"US-8637512-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"1";"Prescription Only";"Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1";"InChI=1S/C9H7Cl2N5/c10-5-3-1-2-4(6(5)11)7-8(12)14-9(13)16-15-7/h1-3H,(H4,12,13,14,16)";"False";"0"
"CHEMBL52440";"DEXTROMETHORPHAN";"DEXTROMETHORPHAN|DEXTROMETHORPHANE|DEXTROMETORFANO|Dextromethorphan|Dimetane-DX|NSC-751452";"NSC-751452";"4.0";"Bionpharma Inc|Tris Pharma Inc|Pharmaceutical Associates Inc|Rhodes Pharmaceuticals Lp|Acella Pharmaceuticals Llc|Sun Pharmaceutical Industries Ltd|Taro Pharmaceutical Industries Ltd|Axsome Therapeutics Inc|Aurobindo Pharma Ltd|Alkem Laboratories Ltd";"'-orphan'";"1987";"deuterated compounds; narcotic antagonists/agonists (morphinan derivatives)";"'-orphan(-orphan)'";"1982";"N07XX59 | R05DA09";"N07XX - Other nervous system drugs | R05DA - Opium alkaloids and derivatives";"N07X - OTHER NERVOUS SYSTEM DRUGS | R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS";"N07 - OTHER NERVOUS SYSTEM DRUGS | R05 - COUGH AND COLD PREPARATIONS";"N - NERVOUS SYSTEM | R - RESPIRATORY SYSTEM";"Antitussive";"US-7659282-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Over the Counter";"COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3";"InChI=1S/C18H25NO/c1-19-10-9-18-8-4-3-5-15(18)17(19)11-13-6-7-14(20-2)12-16(13)18/h6-7,12,15,17H,3-5,8-11H2,1-2H3/t15-,17+,18+/m1/s1";"False";"0"
"CHEMBL2364612";"LATANOPROSTENE BUNOD";"BOL-303259-X|LATANOPROSTENE BUNOD|LATANOPROSTENO BUNOD|Latanoprostene bunod|NCX 116|NCX-116|NCX116|PF-3187207|VYZULTA|Vesneo";"BOL-303259-X|NCX 116|NCX-116|NCX116|PF-3187207";"4.0";"Bausch And Lomb Inc";"'-nod; -prost-'";"2012";"nitrogen oxide (eg., nitrxyl and nitric oxide) donors; prostaglandins";"'-nod(-nod); -prost-(-prost-)'";"2017";"S01EE06";"S01EE - Prostaglandin analogues";"S01E - ANTIGLAUCOMA PREPARATIONS AND MIOTICS";"S01 - OPHTHALMOLOGICALS";"S - SENSORY ORGANS";"";"US-7273946-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"1";"0";"Prescription Only";"O=C(CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O)OCCCCO[N+](=O)[O-]";"InChI=1S/C27H41NO8/c29-22(15-14-21-10-4-3-5-11-21)16-17-24-23(25(30)20-26(24)31)12-6-1-2-7-13-27(32)35-18-8-9-19-36-28(33)34/h1,3-6,10-11,22-26,29-31H,2,7-9,12-20H2/b6-1-/t22-,23+,24+,25-,26+/m0/s1";"False";"0"
"CHEMBL255044";"FLUPIRTINE";"FLUPIRTINA|FLUPIRTINE|FLUPIRTINTE|W-2964";"";"4.0";"";"";"1984";"";"";"";"N02BG07";"N02BG - Other analgesics and antipyretics";"N02B - OTHER ANALGESICS AND ANTIPYRETICS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"Analgesic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Withdrawn";"CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N";"InChI=1S/C15H17FN4O2/c1-2-22-15(21)19-12-7-8-13(20-14(12)17)18-9-10-3-5-11(16)6-4-10/h3-8H,2,9H2,1H3,(H,19,21)(H3,17,18,20)";"True";"0"
"CHEMBL315985";"ESLICARBAZEPINE";"(S)-LICARBAZEPINE|BIA 2-194|BIA-2-194|BIA-2194|CGP-13751|ERELIB|ESLICARBAZEPINA|ESLICARBAZEPINE|LICARBAZEPINE, (S)-|PAZZUL|STEDESA";"BIA 2-194|BIA-2-194|BIA-2194|CGP-13751";"4.0";"";"'-pine'";"2008";"tricyclic compounds";"'-pine(-pine)'";"";"N03AF04";"N03AF - Carboxamide derivatives";"N03A - ANTIEPILEPTICS";"N03 - ANTIEPILEPTICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21";"InChI=1S/C15H14N2O2/c16-15(19)17-12-7-3-1-5-10(12)9-14(18)11-6-2-4-8-13(11)17/h1-8,14,18H,9H2,(H2,16,19)/t14-/m0/s1";"False";"0"
"CHEMBL3137309";"VENETOCLAX";"ABT-199|GDC-0199|RG-7601|RG7601|VENCLEXTA|VENETOCLAX|Venclyxto";"ABT-199|GDC-0199|RG-7601|RG7601";"4.0";"Abbvie Inc";"'-toclax'";"2013";"bcl-2 (B-cell lymphoma 2) inhibitors";"'-toclax(-toclax)'";"2016";"L01XX52";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-8546399-B2";"1:Synthetic Small Molecule";"0";"1";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1";"InChI=1S/C45H50ClN7O7S/c1-45(2)15-11-33(39(26-45)31-3-5-34(46)6-4-31)29-51-17-19-52(20-18-51)35-7-9-38(42(24-35)60-36-23-32-12-16-47-43(32)49-28-36)44(54)50-61(57,58)37-8-10-40(41(25-37)53(55)56)48-27-30-13-21-59-22-14-30/h3-10,12,16,23-25,28,30,48H,11,13-15,17-22,26-27,29H2,1-2H3,(H,47,49)(H,50,54)";"False";"0"
"CHEMBL713";"ENTECAVIR ANHYDROUS";"Baraclude";"";"4.0";"Breckenridge Pharmaceutical Inc|Teva Pharmaceuticals Usa|Brightgene Bio-Medical Technology Co Ltd|Accord Healthcare Inc|Casi Pharmaceuticals Inc|Amneal Pharmaceuticals|Rising Pharma Holding Inc|Yaopharma Co Ltd|Aurobindo Pharma Ltd|Prinston Pharmaceutical Inc";"'-vir'";"1999";"antivirals: carbocyclic nucleosides";"'-vir(-vir (-cavir))'";"2005";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"1";"0";"0";"1";"Prescription Only";"C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21";"InChI=1S/C12H15N5O3/c1-5-6(3-18)8(19)2-7(5)17-4-14-9-10(17)15-12(13)16-11(9)20/h4,6-8,18-19H,1-3H2,(H3,13,15,16,20)/t6-,7-,8-/m0/s1";"False";"0"
"CHEMBL1336";"SORAFENIB";"BAY 43-9006|BAY-43-9006|NEXAVAR|SORAFENIB|Sorafenib";"BAY 43-9006|BAY-43-9006";"4.0";"Mylan Pharmaceuticals Inc|Dr Reddys Laboratories Ltd|Teva Pharmaceuticals Usa Inc|Bayer Healthcare Pharmaceuticals Inc|Yabao Pharmaceutical Co Ltd Beijing|Torrent Pharmaceuticals Ltd";"'-rafenib'";"2007";"rapidly accelerated fibrosarcoma (RAF) kinase inhibitors";"'-rafenib(-rafenib)'";"2005";"L01EX02";"L01EX - Other protein kinase inhibitors";"L01E - PROTEIN KINASE INHIBITORS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"";"US-8618141-B2";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1";"InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)";"False";"1"
"CHEMBL2107797";"NORGESTREL";"DL-NORGESTREL|FH-122A|NORGESTREL|NSC-757251|OPILL|OVRETTE|Prefest|Previfem|SH-70850|SH-850|Sprintec|Tri-Previfem|Tri-Sprintec|WY-3707";"FH-122A|NSC-757251|SH-70850|SH-850|WY-3707";"4.0";"Cadence Health|Wyeth Pharmaceuticals Llc|Laboratoire Hra Pharma|Mylan Laboratories Ltd|Watson Laboratories Inc|Wyeth Pharmaceuticals Inc Sub Pfizer Inc|Lupin Ltd|Dr Reddys Laboratories Sa|Novast Laboratories Ltd|Duramed Pharmaceuticals Inc Sub Barr Laboratories Inc";"'-estr-; -gest-'";"1966";"estrogens; progestins";"'-estr-(-estr-); -gest-(-gest-)'";"1968";"";"";"";"";"";"Progestin";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"0";"Prescription Only";"C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC";"InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3/t16-,17+,18+,19-,20-,21?/m0/s1";"False";"0"
"CHEMBL92401";"IPRONIAZID";"IPRONIAZID|IPRONIAZIDA|IPRONIAZIDE|Iproniazide|MARSILID";"";"4.0";"";"";"";"";"";"";"N06AF05";"N06AF - Monoamine oxidase inhibitors, non-selective";"N06A - ANTIDEPRESSANTS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"1";"Achiral Molecule";"0";"1";"0";"0";"0";"Unknown";"CC(C)NNC(=O)c1ccncc1";"InChI=1S/C9H13N3O/c1-7(2)11-12-9(13)8-3-5-10-6-4-8/h3-7,11H,1-2H3,(H,12,13)";"False";"0"
"CHEMBL30008";"FLUNARIZINE";"FLUNARIZINA|FLUNARIZINE";"";"4.0";"";"";"1970";"";"";"";"N07CA03";"N07CA - Antivertigo preparations";"N07C - ANTIVERTIGO PREPARATIONS";"N07 - OTHER NERVOUS SYSTEM DRUGS";"N - NERVOUS SYSTEM";"Vasodilator";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1";"InChI=1S/C26H26F2N2/c27-24-12-8-22(9-13-24)26(23-10-14-25(28)15-11-23)30-19-17-29(18-20-30)16-4-7-21-5-2-1-3-6-21/h1-15,26H,16-20H2/b7-4+";"False";"0"
"CHEMBL1043";"DAPSONE";"ACZONE|DAPSONA|DAPSONE|DAPSONUM|DIAMINODIPHENYLSULFONE|DIAPHENYLSULFONE|Diaphenylsulfone|J04BA02|NOVOPHONE|NSC-6091|NSC-6091D|SERVIDAPSON";"J04BA02|NSC-6091|NSC-6091D";"4.0";"Mylan Pharmaceuticals Inc|Rising Pharma Holdings Inc|Actavis Llc|Beloteca Inc|Alvogen Inc|Everest Life Sciences Llc|Almirall Llc|Nostrum Laboratories Inc|Amneal Pharmaceuticals Llc|Taro Pharmaceutical Industries Ltd";"";"1963";"";"";"1979";"J04BA02 | D10AX05";"J04BA - Drugs for treatment of lepra | D10AX - Other anti-acne preparations for topical use";"J04B - DRUGS FOR TREATMENT OF LEPRA | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE";"J04 - ANTIMYCOBACTERIALS | D10 - ANTI-ACNE PREPARATIONS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | D - DERMATOLOGICALS";"Antibacterial (leprostatic); Suppressant (dermatitis herpetiformis)";"US-9161926-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"1";"0";"Prescription Only";"Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1";"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2";"False";"0"
"CHEMBL1075";"MORICIZINE";"EN-313|EN-313 FREE BASE|ETHMOZINE|MORACIZINA|MORACIZINE|MORICIZINE|Moricizine";"EN-313|EN-313 FREE BASE";"4.0";"Shire Development Inc";"";"1981";"";"";"1990";"C01BG01";"C01BG - Other antiarrhythmics, class I and III";"C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"1";"Discontinued";"CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2";"InChI=1S/C22H25N3O4S/c1-2-29-22(27)23-16-7-8-20-18(15-16)25(17-5-3-4-6-19(17)30-20)21(26)9-10-24-11-13-28-14-12-24/h3-8,15H,2,9-14H2,1H3,(H,23,27)";"False";"0"
